# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
27,28,Co,null,54.94199642,,63108,,EC+B+,100,,,,,4.822,-8694.035,-22823.0025,-8211.6868,3451.426
27,29,Co,null,55.93983803,,6673190.4,,EC+B+,100,,,,,,-2132.8689,-18775.8746,-7754.0471,4566.645
27,30,Co,null,56.93628982,,23478336,,EC,100,,,,,,-3261.697,-13509.3271,-7080.224,836.359
27,31,Co,null,57.93575129,,6122304,,EC+B+,100,,,,,,381.5789,-11834.6497,-6713.9617,2307.979
27,32,Co,3.7875,58.93319352,1,stable,,,,,,,,4.615,-1073.005,-10072.2847,-6942.2118,-1564.881
27,33,Co,null,59.93381554,,166344192,,B-,100,,,,,3.799,2822.8058,-8564.9226,-7163.6874,-237.263
27,34,Co,null,60.93247603,,5936.4,,B-,100,,,,,,1323.8504,-6496.2534,-7836.8152,-3977.676
27,35,Co,null,61.9340582,,92.4,,B-,100,,,,,,5322.0404,-5273.6884,-8021.7469,-2546.342
27,36,Co,null,62.93359963,,27.4,,B-,100,,,,,,3661.3385,-3176.4313,-8751.1403,-6215.924
27,37,Co,null,63.93581018,,0.3,,B-,100,,,,,,7306.5921,-2350.8683,-9249.4117,-4822.89
27,38,Co,null,64.93646207,,1.16,,B-,100,,,,,,5940.5911,-157.4896,-9867.9915,-7967.303
27,39,Co,null,65.93944294,,0.2,,B-,100,,,,,,9597.7522,645.9373,-10309.4923,-6340.694
27,40,Co,null,66.94060963,,0.425,,B-,100,,,,,,8420.9047,2613.1918,-10859.6387,-9613.367
27,41,Co,null,67.9445594,,0.2,,B-,100,,,,,,11821.2318,4028.7795,-11078.4662,-7745.591
27,42,Co,null,68.945909,,0.227,,B-,100,,,,,,9593.2084,5007.0568,-11843.0192,-11186.447
27,43,Co,null,69.9500534,,0.112,,B-,100,B-N,,,,,12688.9049,5382.3745,-12199.487,-9634.963
27,44,Co,null,70.95236692,,0.08,,B-,100,B-N,16,,,,11036.3053,6772.62,-13214,-12439.93
27,45,Co,null,71.956736,,0.0599,,B-,100,B-N,6,,,,13926,7035,-13805,-11050
27,46,Co,null,72.959238,,0.0407,,B-,100,B-N,22,B-2N,,,12139,8185,-15035,-13980
27,47,Co,null,73.963993,,0.0313,,B-,100,B-N,18,B-2N,,,15160,8497,-15515,-12880
27,48,Co,null,74.967192,,0.03,,B-,100,B-N,16,B-2N,,,13680,10069,-16366,-15860
27,49,Co,null,75.972453,,0.0217,,B-,100,B-2N,,B-N,,,16530,10509,-16915,-15070
27,50,Co,null,76.976479,,0.013,,B-,100,B-N,,B-2N,,,15440,12209,-17634,
27,51,Co,null,77.983553,,null,,B-,100,B-4N,,B-3N,,,19560,13959,,
28,20,Ni,null,48.019515,,0.0021,,2P,70,B+P,30,,,,,,,16448
28,21,Ni,null,49.009157,,0.0075,,EC+B+,100,B+P,83,,,,,,-8303,18310
28,22,Ni,null,49.996286,,0.0185,,EC+B+,100,ECP,73,EC2P,14,,,,-7094,14129.403
28,23,Ni,null,50.987493,,0.0238,,EC+B+,100,ECP,87.2,EC2P,0.5,,,,-6945,15692.146
28,24,Ni,null,51.975781,,0.0408,,EC+B+,100,B+P,31.4,,,,-20680,,-6976.1961,11784.123
28,25,Ni,null,52.96819,,0.0552,,EC+B+,100,ECP,23.4,,,,-16491,-35822,-7305.0135,13028.549
28,26,Ni,null,53.957833,,0.1142,,EC+B+,100,,,,,,-18038,-34210,-7226.768,8731.756
28,27,Ni,null,54.95132985,,0.2037,,EC+B+,100,,,,,-0.98,-13700.5585,-32167,-7571.6918,8694.035
28,28,Ni,null,55.94212776,,524880,,EC+B+,100,,,,,,-15277.9163,-30343.5642,-8000.4694,2132.869
28,29,Ni,null,56.93979139,,128160,,EC+B+,100,,,,,-0.7975,-8774.9466,-25525.5463,-7561.3934,3261.697
28,30,Ni,3.7757,57.93534165,0.680769,stable,,,,,,,,0.076,-8561.0204,-20991.1751,-6399.1718,-381.579
28,31,Ni,null,58.93434544,,2398326374069,,EC+B+,100,,,,,0.35,-4798.3786,-17560.3001,-6100.3272,1073.005
28,32,Ni,3.8118,59.93078513,0.262231,stable,,,,,,,,0.32,-6127.981,-16186.107,-6290.9959,-2822.806
28,33,Ni,3.8225,60.93105482,0.011399,stable,,,,,,,,-0.74965,-2237.9663,-13948.0848,-6464.9281,-1323.85
28,34,Ni,3.8399,61.92834475,0.036345,stable,,,,,,,,,-3958.8965,-12833.6951,-7016.0846,-5322.041
28,35,Ni,null,62.92966902,,3193560909,,B-,100,,,,,0.496,66.9768,-10796.6664,-7272.8498,-3661.338
28,36,Ni,3.8572,63.92796623,0.009256,stable,,,,,,,,0.37,-1674.6156,-9590.4836,-8110.7755,-7306.592
28,37,Ni,null,64.93008459,,9063,,B-,100,,,,,0.69,2137.8808,-7772.6963,-8630.2096,-5940.591
28,38,Ni,null,65.92913933,,196560,,B-,100,,,,,,251.9958,-6813.9341,-9553.1526,-9597.752
28,39,Ni,null,66.93156941,,21,,B-,100,,,,,0.601,3576.8654,-5555.7171,-10531.9749,-8420.905
28,40,Ni,null,67.93186879,,29,,B-,100,,,,,,2103.2205,-4215.587,-10919.1863,-11821.231
28,41,Ni,null,68.93561027,,11.4,,B-,100,B-N,,,,,5757.565,-2482.931,-11185.67,-9593.209
28,42,Ni,null,69.9364313,,6,,B-,100,,,,,,3762.5123,-1548.9654,-11570.9376,-12688.905
28,43,Ni,null,70.94051896,,2.56,,B-,100,,,,,,7304.8989,-501.173,-12122.7358,-11036.306
28,44,Ni,null,71.94178592,,1.57,,B-,100,,,,,,5556.9381,413.7481,-12754,-13926.068
28,45,Ni,null,72.94620668,,0.84,,B-,100,B-N,,,,,8879.2856,1603.5291,-13334,-12138.159
28,46,Ni,null,73.947718,,0.5077,,B-,100,B-N,,,,,7306,2216,-14235,-15160
28,47,Ni,null,74.952506,,0.344,,B-,100,B-N,10,,,,10230,3695,-14736,-13680
28,48,Ni,null,75.954707,,0.238,,B-,100,B-N,,,,,8791,4209,-15365,-16530
28,49,Ni,null,76.959903,,0.1589,,B-,100,B-N,26,B-2N,,,11513,5560,-15785,-15440
28,50,Ni,null,77.962555,,0.11,,B-,100,B-N,,,,,9910,5912,-16645,-19560
28,51,Ni,null,78.969769,,0.043,,B-,100,B-N,,B-2N,,,14248,8558,-15885,
28,52,Ni,null,79.975051,,0.024,,B-,100,B-N,,B-2N,,,13440,11097,-15075,
28,53,Ni,null,80.982727,,null,,B-,100,B-N,,B-2N,,,15820,12518,,
28,54,Ni,null,81.988492,,null,,,,,,,,,15010,13119,,
29,24,Cu,null,52.985894,,0.00000013,<,P,,,,,,,,,-5785,16490.827
29,25,Cu,null,53.977198,,0.000000075,<,P,,,,,,,-15538,,-6075,18038.312
29,26,Cu,null,54.966038,,0.0559,,EC+B+,100,ECP,,,,,-17366,-34005,-6718.1722,13700.558
29,27,Cu,null,55.95852928,,0.0804,,EC+B+,100,ECP,0.4,,,,-13240,-32431,-6710.6698,15277.916
29,28,Cu,null,56.94921169,,0.1963,,EC+B+,100,,,,,2.582,-14759,-29991,-7074.5541,8774.947
29,29,Cu,null,57.94453228,,3.204,,EC+B+,100,,,,,0.571,-9368.9796,-27189,-6082.6991,8561.02
29,30,Cu,null,58.93949671,,81.5,,EC+B+,100,,,,,1.8931,-9142.776,-22130.9011,-4753.374,4798.379
29,31,Cu,null,59.93736379,,1422,,EC+B+,100,,,,,1.22,-4170.7922,-19200.9019,-4729.6603,6127.981
29,32,Cu,null,60.93345738,,12020.4,,EC+B+,100,,,,,2.1107,-5635.1565,-15880.9106,-5063.3206,2237.966
29,33,Cu,null,61.9325948,,580.2,,EC+B+,100,,,,,-0.38,-1619.4548,-14509.9552,-5365.1666,3958.897
29,34,Cu,3.8823,62.92959712,0.6915,stable,,,,,,,,2.2259,-3366.4392,-12483.0979,-5774.9461,-66.977
29,35,Cu,null,63.929764,,45722.16,,EC+B+,61.5,B-,38.5,,,-0.2166,579.5996,-11282.3072,-6198.8966,1674.616
29,36,Cu,3.9022,64.92778948,0.3085,stable,,,,,,,,2.3844,-1351.6527,-9330.9775,-6790.4145,-2137.881
29,37,Cu,null,65.9288688,,307.2,,B-,100,,,,,-0.2826,2640.9396,-8417.5826,-7258.8057,-251.996
29,38,Cu,null,66.92772949,,222588,,B-,100,,,,,2.5171,560.8226,-6491.6429,-7892.9165,-3576.865
29,39,Cu,null,67.92961089,,30.9,,B-,100,,,,,2.396,4440.1115,-5757.9849,-8199.5171,-2103.221
29,40,Cu,null,68.92942927,,171,,B-,100,,,,,2.8415,2681.6854,-3800.3846,-8975.9315,-5757.565
29,41,Cu,null,69.93239208,,44.5,,B-,100,,,,,1.3681,6588.3675,-2629.7924,-8992.7554,-3762.513
29,42,Cu,null,70.93267683,,19.4,,B-,100,,,,,2.2772,4617.6517,-1217.7045,-9814.2669,-7304.898
29,43,Cu,null,71.93582031,,6.63,,B-,100,,,,,-1.3487,8362.4883,-525.5383,-10565.3316,-5556.938
29,44,Cu,null,72.93667438,,4.2,,B-,100,B-N,,,,1.7446,6605.9659,1086.7318,-11026.9132,-8879.286
29,45,Cu,null,73.93987486,,1.63,,B-,100,B-N,0,,,-1.067,9750.5077,1515.88,-11906.1651,-7306.213
29,46,Cu,null,74.94152382,,1.224,,B-,100,B-N,3.5,,,1.0069,8088.6967,3215.1829,-12525.2049,-10230.219
29,47,Cu,null,75.94526897,,0.641,,B-,100,B-N,3,,,-1.0907,11321.3964,3505.9706,-13106,-8791.627
29,48,Cu,null,76.9475436,,0.4698,,B-,100,B-N,30.1,,,1.5963,9926.375,5368.8778,-13318,-11512.828
29,49,Cu,null,77.95191652,,0.335,,B-,100,B-N,65,,,0.238,12693.768,5928.4108,-13674,-9909.474
29,50,Cu,null,78.9544731,,0.241,,B-,100,B-N,66,B-2N,,,11024.2629,7003.8851,-14272,-14248.039
29,51,Cu,null,79.960623,,0.1136,,B-,100,B-2N,,B-N,,,14969,8682,-13444,-13439
29,52,Cu,null,80.965743,,0.0732,,B-,100,B-2N,,B-N,,,14289,11667,-12425,-15820
29,53,Cu,null,81.972378,,0.033,,B-,100,B-2N,,B-N,,,16584,12399,-12834,-15010
29,54,Cu,null,82.97811,,null,,B-,100,B-N,,B-2N,,,15900,13852,,
30,24,Zn,null,53.993879,,0.00159,,2P,92,,,,,,,,-4667,15538
30,25,Zn,null,54.984681,,0.0198,,EC+B+,100,ECP,91,,,,,,-5044,17365.403
30,26,Zn,null,55.972743,,0.0324,,EC+B+,100,ECP,88,,,,-21550,,-5255,13239.733
30,27,Zn,null,56.965056,,0.04,,EC+B+,100,B+P,65,,,,-17140,-36782,-5344,14759.014
30,28,Zn,null,57.9545903,,0.0867,,EC+B+,100,ECP,3,,,,-18759,-34960,-5445.4753,9368.98
30,29,Zn,null,58.94931189,,0.1786,,EC+B+,100,ECP,0.1,,,,-13456,-31747,-4304.633,9142.776
30,30,Zn,null,59.94184132,,142.8,,EC+B+,100,,,,,,-14584,-28486,-2691.7371,4170.792
30,31,Zn,null,60.93950696,,89.1,,EC+B+,100,,,,,,-9214.2438,-24830,-2689.8611,5635.157
30,32,Zn,null,61.93433336,,33094.8,,EC+B+,100,,,,,,-9181.0666,-22104.7442,-3364.133,1619.455
30,33,Zn,null,62.93321114,,2308.2,,EC+B+,100,,,,,-0.28143,-5666.3294,-18297.7253,-3481.5119,3366.439
30,34,Zn,3.9283,63.92914178,0.4917,stable,,,,,,,,2,-7171.1912,-17528.2362,-3955.6904,-579.6
30,35,Zn,null,64.92924053,,21075552,,EC+B+,100,,,,,0.7684,-3254.538,-15150.516,-4114.9114,1351.653
30,36,Zn,3.9491,65.92603364,0.2773,stable,,,,,,,,1.06,-5175.5,-14313.0602,-4577.7049,-2640.94
30,37,Zn,3.953,66.92712742,0.0404,stable,,,,,,,,0.87485,-1001.2201,-12227.9655,-4792.4005,-560.823
30,38,Zn,3.9658,67.92484423,0.1845,stable,,,,,,,,1.08,-2921.1,-11199.3165,-5333.0365,-4440.111
30,39,Zn,null,68.92655036,,3384,,B-,100,,,,,0.557,909.9134,-9403.17,-5717.0257,-2681.685
30,40,Zn,3.9845,69.92531918,0.0061,1.20E+26,>=,2B-,100,2B-,,,,0.8,-654.5979,-8308.2465,-5983.3706,-6588.367
30,41,Zn,null,70.92771958,,145.2,,B-,100,,,,,0.551,2810.3405,-6489.954,-6011.0138,-4617.652
30,42,Zn,null,71.92684281,,167400,,B-,100,,,,,0.9,442.7892,-6077.686,-7106.5881,-8362.489
30,43,Zn,null,72.92958258,,24.5,,B-,100,,,,,0.5581,4105.9329,-5076.4449,-8039.6706,-6605.966
30,44,Zn,null,73.92940726,,95.6,,B-,100,,,,,,2292.9057,-4128.6948,-8967.7678,-9750.507
30,45,Zn,null,74.93284024,,10.2,,B-,100,,,,,-0.7881,5901.7231,-2580.6081,-9577.5964,-8088.697
30,46,Zn,null,75.93311496,,5.7,,B-,100,,,,,,3993.6241,-1913.7028,-10501.8715,-11321.397
30,47,Zn,null,76.9368872,,2.08,,B-,100,,,,,-0.9067,7203.1495,-563.873,-11105.9596,-9926.375
30,48,Zn,null,77.9382892,,1.47,,B-,100,,,,,,6220.8433,437.7923,-11208,-12693.768
30,49,Zn,null,78.94263807,,0.746,,B-,100,B-N,1.7,,,-1.1857,9116.0536,2200.4655,-11617,-11024.263
30,50,Zn,null,79.94455293,,0.5619,,B-,100,B-N,1,,,,7575.0553,2828.4181,-11883,-14969.619
30,51,Zn,null,80.95040262,,0.32,,B-,100,B-N,7.5,,,,11428.2924,4952.6873,-11274,-14289.669
30,52,Zn,null,81.9545741,,0.166,,B-,100,B-N,69,,,,10616.7652,7242.6833,-9859,-16583.96
30,53,Zn,null,82.961041,,0.117,,B-,100,B-N,,,,,12967,8569,-10555,-15900
30,54,Zn,null,83.965829,,0.0536,,B-,100,B-N,73,B-3N,,,12264,9356,-11015,
30,55,Zn,null,84.973054,,0.000000637,>,B-2N,,B-N,,B-,,,14644,10923,-11435,
31,28,Ga,null,58.963757,,0.000000043,<,P,,,,,,,-17390,-34252,-4550,13455.678
31,29,Ga,null,59.957498,,0.07,,EC+B+,100,B+P,1.6,B+A,0.023,,-12060,-31292,-3386,14584.47
31,30,Ga,null,60.94939886,,0.167,,EC+B+,100,ECP,0.25,,,,-13345,-27676,-2250.564,9214.244
31,31,Ga,null,61.94418964,,0.116121,,EC+B+,100,ECP,,,,,-9847,-26268,-2744.0868,9181.066
31,32,Ga,null,62.93929419,,32.4,,EC+B+,100,,,,,0.1468,-9625.8787,-22479,-2613.5612,5666.329
31,33,Ga,null,63.93684037,,157.62,,EC+B+,100,,,,,,-4517.3237,-19982.9237,-2912.4803,7171.191
31,34,Ga,null,64.93273442,,912,,EC+B+,100,,,,,1.773,-6179.2631,-16413.3016,-3098.3398,3254.538
31,35,Ga,null,65.93158977,,34164,,EC+B+,100,,,,,0.89,-2116.6879,-15316.8234,-3361.1014,5175.5
31,36,Ga,null,66.92820228,,281810.88,,EC,100,,,,,1.8494,-4205.438,-13343.4333,-3724.2037,1001.22
31,37,Ga,null,67.92798016,,4062.6,,EC+B+,100,,,,,0.01174,-107.2555,-12483.6544,-4086.5521,2921.1
31,38,Ga,3.9973,68.92557353,0.60108,stable,,,,,,,,2.01502,-2227.1455,-10420.3389,-4489.0583,-909.914
31,39,Ga,null,69.92602191,,1268.4,,B-,99.59,EC,0.41,,,0.571,1651.8861,-9880.794,-5076.7769,654.598
31,40,Ga,4.0118,70.92470255,0.39892,stable,,,,,,,,2.56033,-232.4698,-7648.4085,-5244.489,-2810.341
31,41,Ga,null,71.92636745,,50760,,B-,100,,,,,-0.13214,3997.6263,-6752.9451,-5446.1568,-442.789
31,42,Ga,null,72.92517468,,17496,,B-,100,,,,,0.209,1598.1889,-5184.7514,-6388.0384,-4105.932
31,43,Ga,null,73.92694573,,487.2,,B-,100,,,,,0,5372.8249,-4823.4116,-7498.1613,-2292.906
31,44,Ga,null,74.92650448,,126,,B-,100,,,,,1.835,3396.3337,-3109.5063,-8174.4206,-5901.723
31,45,Ga,null,75.92882762,,32.6,,B-,100,,,,,-0.945,6916.2501,-2510.9932,-8938.5575,-3993.624
31,46,Ga,null,76.9291543,,13.2,,B-,100,,,,,2.018,5220.5176,-850.7724,-9429.8235,-7203.149
31,47,Ga,null,77.93161085,,5.09,,B-,100,,,,,-1.214,8157.9729,-562.5334,-10122.7886,-6220.843
31,48,Ga,null,78.93285158,,2.848,,B-,100,B-N,0.089,,,1.046,6978.8242,1242.3848,-10503.0519,-9116.053
31,49,Ga,null,79.93642077,,1.9,,B-,100,B-N,0.86,,,0.036,10311.6397,2232.187,-10666.963,-7575.056
31,50,Ga,null,80.93813384,,1.217,,B-,100,B-N,11.9,,,1.746,8663.7335,3836.0346,-11190.0495,-11428.293
31,51,Ga,null,81.94317653,,0.6,,B-,100,B-N,22.2,,,,12484.3497,5289.6516,-10566.1672,-10616.765
31,52,Ga,null,82.9471203,,0.3081,,B-,100,B-N,62.8,,,,11719.3136,8086.6285,-9274.0056,-12967.129
31,53,Ga,null,83.952663,,0.0952,,B-,100,B-N,46,B-2N,1.6,,14054.2989,8810.9878,-9840,-12264.136
31,54,Ga,null,84.957333,,0.092,,B-,100,B-N,35,,,,13379.3679,10333.0583,-10259,-14644.059
31,55,Ga,null,85.963757,,0.043,,B-,100,B-N,60,B-2N,20,,15640,11292,-10455,
31,56,Ga,null,86.969007,,0.000000634,>,B-,100,B-N,,B-2N,,,14720,12459,-10904,
32,27,Ge,null,58.982426,,0.0133,,2P,0.2,EC+B+,,,,,,,-4525,17390
32,28,Ge,null,59.970445,,0.00000011,>,EC+B+,,ECP,,,,,-21890,,-4565,12060
32,29,Ge,null,60.963725,,0.044,,EC+B+,100,ECP,62,,,,-16590,-36221,-3665,13344.662
32,30,Ge,null,61.954761,,0.129,,EC+B+,100,ECP,,,,,-17720,-33011,-2266,9847.022
32,31,Ge,null,62.949628,,0.15,,EC+B+,100,,,,,,-13421,-30572,-2130.4585,9625.879
32,32,Ge,null,63.94168991,,63.7,,EC+B+,100,ECP,,,,,-14783,-28887,-2565.9487,4517.324
32,33,Ge,null,64.93936814,,30.9,,EC+B+,100,ECP,0.011,,,,-9541.167,-25017,-2554.2332,6179.263
32,34,Ge,null,65.93386212,,8136,,EC+B+,100,,,,,,-9581.957,-22741.3024,-2863.8682,2116.688
32,35,Ge,null,66.932717,,1134,,EC+B+,100,,,,,-0.849,-6086.4858,-18719.9524,-2885.2049,4205.438
32,36,Ge,null,67.92809531,,23408352,,EC,100,,,,,1.1,-8084.2715,-18462.8847,-3399.6969,107.255
32,37,Ge,null,68.92796447,,140580,,EC+B+,100,,,,,0.735,-3988.4927,-16277.4648,-3613.5655,2227.146
32,38,Ge,4.0414,69.92424854,0.2052,stable,,,,,,,,0.64,-6228.063,-15521.1729,-4087.7235,-1651.886
32,39,Ge,null,70.92495212,,987552,,EC,100,,,,,0.546,-2013.4,-13644.0016,-4451.1966,232.47
32,40,Ge,4.0576,71.92207582,0.2745,stable,,,,,,,,1,-4356.1019,-12763.9714,-5003.6716,-3997.626
32,41,Ge,4.0632,72.92345895,0.0776,stable,,,,,,,,,-344.7759,-11139.0422,-5304.542,-1598.189
32,42,Ge,4.0742,73.92117776,0.3652,stable,,,,,,,,0.75,-2562.3871,-10541.0125,-6282.6188,-5372.825
32,43,Ge,null,74.92285837,,4966.8,,B-,100,,,,,0.509,1177.2301,-9068.2271,-6953.1026,-3396.334
32,44,Ge,4.0811,75.92140273,0.0775,stable,,,,,,,,0.64,-921.5145,-8250.0132,-7492.3194,-6916.25
32,45,Ge,null,76.92354984,,40359.6,,B-,100,,,,,,2703.4642,-6992.8044,-8044.3752,-5220.518
32,46,Ge,null,77.92285291,,5280,,B-,100,,,,,,954.9114,-6017.0421,-8530.2538,-8157.973
32,47,Ge,null,78.92535951,,18.98,,B-,100,,,,,,4108.9014,-4781.528,-9393.1793,-6978.825
32,48,Ge,null,79.92535077,,29.5,,B-,100,,,,,,2679.2869,-3970.5514,-9657.2063,-10311.639
32,49,Ge,null,80.92883294,,7.6,,B-,100,,,,,,6241.6189,-2148.412,-9927.408,-8663.733
32,50,Ge,null,81.92977403,,4,,B-,100,,,,,,4690.3523,-953.0792,-10356.7489,-12484.35
32,51,Ge,null,82.9345391,,1.85,,B-,100,B-N,,,,,8692.8893,1057.6671,-9969.0563,-11719.313
32,52,Ge,null,83.93757509,,0.954,,B-,100,B-N,10.2,,,,7705.1329,3449.5782,-8924.7319,-14054.299
32,53,Ge,null,84.94296966,,0.503,,B-,100,B-N,16.5,B-2N,,,10065.7253,4658.8233,-9348.6734,-13379.368
32,54,Ge,null,85.946967,,0.226,,B-,100,B-N,45,,,,9562.2229,5717.9072,-9510.8824,-15639.927
32,55,Ge,null,86.953204,,0.14,~,B-,100,B-N,,,,,12028,7301,-9725,-14720
32,56,Ge,null,87.957574,,0.0000003,>,B-,,B-N,,,,,10930,8027,-10114,
32,57,Ge,null,88.96453,,null,,B-,100,B-N,,B-2N,,,13490,9338,-10365,
32,58,Ge,null,89.969436,,null,,B-,100,B-2N,,B-N,,,12520,9988,-10834,
33,30,As,null,62.964036,,0.000000043,<,P,,,,,,,-16650,,-2165,13421.221
33,31,As,null,63.95756,,0.069,,EC+B+,100,ECP,,,,,-12673,-30754,-2367,14783.503
33,32,As,null,64.949611,,0.128,,EC+B+,100,,,,,,-13917,-28149,-2227.3099,9541.167
33,33,As,null,65.94414878,,0.09577,,EC+B+,100,,,,,,-10365,-27077,-2462.9778,9581.957
33,34,As,null,66.93925111,,42.5,,EC+B+,100,,,,,,-10006.9381,-22998,-2465.0484,6086.486
33,35,As,null,67.93677413,,151.6,,EC+B+,100,,,,,,-4705.0786,-20385.5514,-2486.6167,8084.272
33,36,As,null,68.93224629,,912,,EC+B+,100,,,,,1.622,-6677.4672,-16994.0507,-2879.6108,3988.493
33,37,As,null,69.93093464,,3156,,EC+B+,100,,,,,2.1104,-2404.0737,-15970.5771,-3035.1605,6228.063
33,38,As,null,70.92711359,,235080,,EC+B+,100,,,,,1.673,-4746.742,-14034.6753,-3439.0167,2013.4
33,39,As,null,71.92675229,,93600,,EC+B+,100,,,,,-2.161,-361.6194,-13154.6115,-3568.6697,4356.102
33,40,As,null,72.92382909,,6937920,,EC,100,,,,,5.234,-2725.3604,-11155.8858,-4049.8527,344.775
33,41,As,null,73.9239286,,1535328,,EC+B+,66,B-,34,,,-1.596,1353.1467,-10703.9857,-4374.8295,2562.387
33,42,As,4.0968,74.92159456,1,stable,,,,,,,,1.4383,-864.7139,-8892.3105,-5319.9921,-1177.23
33,43,As,null,75.92239201,,94464,,B-,100,,,,,-0.9023,2960.5756,-8193.2126,-6128.0157,921.514
33,44,As,null,76.92064756,,139644,,B-,100,,,,,1.294,683.1627,-6735.693,-6641.9066,-2703.464
33,45,As,null,77.92182777,,5442,,B-,100,,,,,,4208.9819,-6288.7907,-7192.2595,-954.912
33,46,As,null,78.92094842,,540.6,,B-,100,,,,,,2281.3849,-4681.4474,-7600.3576,-4108.901
33,47,As,null,79.92247444,,15.2,,B-,100,,,,,,5544.8861,-4368.4534,-8342.869,-2679.287
33,48,As,null,80.92213229,,33.3,,B-,100,,,,,,3855.705,-2845.1448,-8965.8774,-6241.619
33,49,As,null,81.92473873,,19.1,,B-,100,,,,,,7488.4677,-1787.7264,-8826.2579,-4690.352
33,50,As,null,82.9252069,,13.4,,B-,100,,,,,,5671.2117,-146.7545,-9545.892,-8692.889
33,51,As,null,83.92930329,,4.2,,B-,100,B-N,0.18,,,,10094.1624,1415.6569,-9054.8095,-7705.133
33,52,As,null,84.93216366,,2.021,,B-,100,B-N,62.9,,,,9224.4929,4687.2605,-7986.1063,-10065.725
33,53,As,null,85.93670153,,0.945,,B-,100,B-N,35.5,B-2N,,,11541.0256,5380.1773,-8456.3401,-9562.223
33,54,As,null,86.94029172,,0.484,,B-,100,B-N,15.4,,,,10808.2192,6813.9437,-8785.7008,-12027.914
33,55,As,null,87.94584,,0.2,,B-,100,B-N,,,,,13434,7905,-8781,-10930
33,56,As,null,88.950048,,null,,B-,100,B-N,,B-2N,,,12462,9283,-9211,-13490
33,57,As,null,89.955995,,null,,B-,100,B-N,,,,,14810,9931,-9655,-12520
33,58,As,null,90.960816,,null,,B-,100,B-N,,,,,14080,11229,-10055,
33,59,As,null,91.967386,,null,,B-,100,,,,,,16344,12129,-10414,
34,29,Se,null,62.981911,,0.0132,,EC+B+,100,ECP,89,2P,0.5,,,,-2905,
34,30,Se,null,63.971165,,null,,EC+B+,100,ECP,,,,,,,-1754,12672
34,31,Se,null,64.964552,,0.033,,EC+B+,100,ECP,100,,,,-16529,,-1655,13917.056
34,32,Se,null,65.955276,,0.042,,EC,100,,,,,,-18091,-33241,-1945,10365.084
34,33,Se,null,66.949994,,0.133,,EC+B+,100,ECP,0.5,,,,-14051,-31082,-2083.989,10006.938
34,34,Se,null,67.94182524,,35.5,,EC+B+,100,,,,,,-15398,-29731,-2298.8618,4705.078
34,35,Se,null,68.93941485,,27.4,,EC+B+,100,ECP,0.052,,,,-10175.2364,-25715,-2381.4068,6677.467
34,36,Se,null,69.93351552,,2466,,EC+B+,100,,,,,,-10504.2727,-23741.7399,-2747.7748,2404.073
34,37,Se,null,70.93220943,,284.4,,EC+B+,100,,,,,,-6644.0883,-19792.2059,-2897.7126,4746.742
34,38,Se,null,71.92714051,,725760,,EC,100,,,,,,-8806.4384,-19437.0804,-3314.3058,361.619
34,39,Se,null,72.92675488,,25740,,EC+B+,100,,,,,0.892,-4581.6095,-17236.9638,-3551.6379,2725.361
34,40,Se,4.07,73.92247593,0.0086,stable,,,,,,,,1.7,-6925.0492,-16638.742,-4076.0901,-1353.146
34,41,Se,null,74.92252287,,10348992,,EC,100,,,,,0.683,-3062.4694,-14952.6458,-4687.7481,864.714
34,42,Se,4.1395,75.9192137,0.0923,stable,,,,,,,,0.61,-4962.881,-14216.2577,-5090.965,-2960.575
34,43,Se,4.1395,76.91991415,0.076,stable,,,,,,,,0.53356,-1364.6792,-12381.7367,-5726.8804,-683.163
34,44,Se,4.1406,77.91730924,0.2369,stable,,,,,,,,0.6,-3573.7836,-11862.4519,-6028.4165,-4208.982
34,45,Se,null,78.91849925,,10319114793692,,B-,100,,,,,-1.018,150.6016,-10536.6159,-6485.4088,-2281.385
34,46,Se,4.14,79.91652176,0.498,stable,,2B-,,,,,,2.3,-1870.4623,-9762.7379,-6971.505,-5544.886
34,47,Se,null,80.91799302,,1107,,B-,100,,,,,,1588.0317,-8571.3121,-7601.0649,-3855.705
34,48,Se,4.14,81.91669953,0.0882,3.03E+27,,2B-,100,,,,,,-95.2184,-7688.1624,-8156.7527,-7488.468
34,49,Se,null,82.9191186,,1338,,B-,100,,,,,,3673.178,-5913.1846,-8238.2794,-5671.212
34,50,Se,null,83.91846676,,195.6,,B-,100,,,,,,1835.3638,-5005.3275,-8837.3322,-10094.163
34,51,Se,null,84.92226076,,32.9,,B-,100,,,,,,6161.8335,-2701.8687,-8546.8657,-9224.493
34,52,Se,null,85.92431173,,14.3,,B-,100,,,,,,5129.086,0.9851,-7513.016,-11541.025
34,53,Se,null,86.92868862,,5.5,,B-,100,B-N,0.36,,,,7465.5526,1134.8104,-7874.6064,-10808.219
34,54,Se,null,87.93141749,,1.53,,B-,100,B-N,0.99,,,,6831.764,1936.1641,-8160.6839,-13434.203
