# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
6,6,C,2.4702,12,0.9894,stable,,,,,,,,,-17338.0681,-32436.962,-7366.5875,-13369.398
6,7,C,2.4614,13.00335484,0.0106,stable,,,,,,,,0.702369,-2220.4718,-22284.3768,-10648.3575,-13436.939
6,8,C,2.5025,14.00324199,,179874478055,,B-,100,,,,,,156.4765,-10396.9059,-12012.5091,-20643.793
6,9,C,null,15.01059926,,2.449,,B-,100,,,,,1.72,9771.7071,-1061.5897,-12728.9395,-19084.234
6,10,C,null,16.01470126,,0.747,,B-,100,B-N,99,,,,8010.226,5521.377,-13808.5442,-23417.566
6,11,C,null,17.02257865,,0.193,,B-,100,B-N,26,,,0.758,13161.8007,7276.6542,-15052.1159,-22684.442
6,12,C,null,18.02675193,,0.092,,B-,100,B-N,31.5,,,,11806.0982,8977.8688,-17460.1527,-26873.374
6,13,C,null,19.03479759,,0.0463,,B-,100,B-N,47,B-2N,7,,16557.4995,11229.269,-19836.982,-27356.497
6,14,C,null,20.04026173,,0.0163,,B-,100,B-N,65,B-2N,18.6,,15737.0689,13575.9936,-22368.4878,-31898.002
6,16,C,null,22.05755399,,0.0061,,B-,100,B-N,61,B-2N,37,,21846.3983,20307.9695,,
7,3,N,null,10.04165354,,1.82E-22,,P,100,,,,,,,,-10945,23101.354
7,4,N,null,11.02615759,,5.50E-22,,P,100,,,,,,-23373.2693,,-5735.8247,13716.247
7,5,N,null,12.01861318,,0.011,,EC+B+,100,B+A,1.93,,,0.4571,-14675.2668,-38472.1632,-8008.4167,17338.068
7,6,N,null,13.00573861,,597.9,,EC+B+,100,,,,,0.3219,-17769.9506,-34739.1719,-9495.9206,2220.472
7,7,N,2.5582,14.003074,0.996205,stable,,,,,,,,0.403573,-5144.3643,-28323.3329,-11612.1097,-156.476
7,8,N,2.6058,15.0001089,0.003795,stable,,,,,,,,-0.2830569,-2754.1841,-15977.6611,-10991.1859,-9771.707
7,9,N,null,16.00610193,,7.13,,B-,100,B-A,0.0012,,,1.9856,10420.9094,-5243.0331,-10110.4066,-8010.226
7,10,N,null,17.00844888,,4.173,,B-,100,B-N,95.1,B-A,0.0025,0.3552,8678.843,4535.7629,-11116.7852,-13161.801
7,11,N,null,18.01407756,,0.619,,B-,100,B-A,12.2,B-N,12,0.3274,13895.9838,5850.6136,-12975.4343,-11806.099
7,12,N,null,19.01702239,,0.336,,B-,100,B-N,41.8,,,0.305,12523.3972,8567.7533,-15526.0403,-16557.499
7,13,N,null,20.0233673,,0.1344,,B-,100,B-N,42.9,,,,17970.3261,10362.322,-17770.1168,-15737.069
7,14,N,null,21.02708757,,0.084,,B-,100,B-N,86,,,,17169.8816,13364.4256,-20909.3222,-20411.085
7,15,N,null,22.03410092,,0.023,,B-,100,B-N,34,B-2N,12,,22481.7725,15631.4527,-22452.7511,-21846.398
7,16,N,null,23.039421,,0.0141,,B-,100,B-N,42,B-2N,8,,22099.0584,19366.0789,-25474.7374,
7,17,N,null,24.05039,,0.000000052,<,N,,,,,,,28438,24245,-24888,
8,3,O,null,11.05124983,,3.51E-22,,2P,100,,,,,,,,,23373.269
8,4,O,null,12.03436773,,6.34E-21,<,2P,100,,,,,,,,-5475.8501,14675.267
8,5,O,null,13.02481544,,0.00858,,B+P,100,EC+B+,100,,,1.3892,-18915,,-8220.4554,17769.951
8,6,O,null,14.00859671,,70.606,,EC+B+,100,,,,,,-23956.6215,-42093,-10115.8076,5144.364
8,7,O,null,15.00306564,,122.24,,EC+B+,100,,,,,0.71908,-13711.13,-37180.0986,-10218.6907,2754.184
8,8,O,2.6991,15.99491462,0.99757,stable,,,,,,,,1.668,-15412.184,-29375.0724,-7161.918,-10420.909
8,9,O,2.6932,16.99913176,0.0003835,stable,,,,,,,,-1.893543,-2760.4655,-19555.2641,-6358.6894,-8678.843
8,10,O,2.7726,17.99915961,0.002045,stable,,,,,,,,,-1655.9288,-10805.8357,-6227.6255,-13895.983
8,11,O,null,19.00357797,,26.88,,B-,100,,,,,1.53238,4820.3029,-5611.5727,-8965.2032,-12523.397
8,12,O,null,20.00407536,,13.51,,B-,100,,,,,0.7,3813.6349,-2787.7012,-12322.8773,-17970.326
8,13,O,null,21.00865495,,3.42,,B-,100,,,,,,8109.639,8.179,-15394.7616,-17169.881
8,14,O,null,22.00996574,,2.25,,B-,100,B-N,22,,,,6489.6562,1259.3192,-18061.1494,-22481.773
8,15,O,null,23.01569669,,0.097,,B-,100,B-N,7,,,,11336.1072,3756.6767,-20217.2997,-22099.058
8,16,O,null,24.019861,,0.072,,B-,100,B-N,42,,,,10955.8885,7143.8229,-21428.0782,-28437.596
8,17,O,null,25.02933892,,null,,N,100,,,,,,15994.8633,11713.1962,-20739,-28653.97
8,18,O,null,26.03721016,,0,,2N,100,,,,,,15986.3855,15255.5557,-21375.0782,
9,4,F,null,13.045121,,4.52E-22,,,,,,,,,,,,
9,5,F,null,14.0343152,,5.01E-22,,,,,,,,,,,-9260.5406,23956.622
9,6,F,null,15.01778514,,6.91E-22,,P,100,,,,,,-23648.6215,,-10223.8076,13711.13
9,7,F,null,16.01146028,,1.14E-20,,P,100,,,,,,-13311.5932,-37611.51,-9087.8022,15412.184
9,8,F,null,17.00209524,,64.49,,EC+B+,100,,,,,4.7213,-14548.7507,-30106.3918,-5818.6957,2760.465
9,9,F,null,18.00093732,,6586.2,,EC+B+,100,,,,,2.68,-4444.5049,-23698.6576,-4415.2202,1655.928
9,10,F,2.8976,18.99840316,1,stable,,,,,,,,2.628321,-3239.4986,-14876.3806,-4013.7991,-4820.303
9,11,F,null,19.99998125,,11.07,,B-,100,,,,,2.09335,7024.4689,-9840.8348,-8126.2863,-3813.635
9,12,F,null,20.99994889,,4.158,,B-,100,,,,,3.9194,5684.1712,-1076.9911,-10342.5998,-8109.639
9,13,F,null,22.00299881,,4.23,,B-,100,B-N,11,,,2.6944,10818.0916,453.8342,-12744.7075,-6489.656
9,14,F,null,23.00352688,,2.23,,B-,100,B-N,14,,,,8439.3084,3238.6611,-14995.9075,-11336.108
9,15,F,null,24.00809937,,0.382,,B-,100,B-N,5.9,,,,13496.1583,4627.2428,-16646.8978,-10955.888
9,16,F,null,25.01216773,,0.08,,B-,100,B-N,23.1,,,,13369.6698,9214.4912,-16322.6644,-15994.863
9,17,F,null,26.02004807,,0.0082,,B-,100,B-N,13.5,,,,18193.5414,12638.8399,-15515.0654,-15986.386
9,18,F,null,27.0269819,,0.005,,B-,100,B-N,77,,,,18082.568,16581.0463,-14011.8669,
9,19,F,null,28.03586045,,4.60E-20,~,N,100,,,,,,22104.0579,18281.568,-15959,-18676.204
9,20,F,null,29.043103,,0.0025,,B-,100,B-N,100,,,,21750.3873,20779.1341,-18258,
9,21,F,null,30.052561,,null,,N,,,,,,,25680,22489,,
9,22,F,null,31.061023,,null,,B-,100,B-2N,,B-7N,,,25661,25491,,
10,5,Ne,null,15.04317298,,7.73E-22,,2P,100,,,,,,,,-9948.4554,23648.622
10,6,Ne,null,16.02575086,,5.70E-21,<,2P,100,,,,,,,,-10451.4758,13311.593
10,7,Ne,3.0413,17.01771396,,0.1092,,EC+B+,100,ECP,95.2,ECA,2.77,0.7873,-18219.1277,,-9039.8956,14548.751
10,8,Ne,2.9714,18.0057087,,1.672,,EC+B+,100,,,,,,-19720.3745,-37473.2804,-5115.0797,4444.505
10,9,Ne,3.0082,19.00188091,,17.22,,EC+B+,100,,,,,-1.88515,-11177.331,-31357.2564,-3528.4845,3239.499
10,10,Ne,3.0055,19.99244018,0.9048,stable,,,,,,,,1.08,-13892.4207,-28042.6347,-4729.8459,-7024.469
10,11,Ne,2.9695,20.99384669,0.0027,stable,,,,,,,,-0.6617,-3546.919,-20653.583,-7347.928,-5684.171
10,12,Ne,2.9525,21.99138511,0.0925,stable,,,,,,,,0.65,-2843.3243,-13911.1765,-9666.8153,-10818.092
10,13,Ne,2.9104,22.99446691,,37.25,,B-,100,,,,,-1.0794,4375.8085,-8043.9716,-10911.8187,-8439.308
10,14,Ne,2.9007,23.99361065,,202.8,,B-,100,,,,,,2466.2583,-4493.1069,-12172.73,-13496.158
10,15,Ne,2.9316,24.9978148,,0.602,,B-,100,,,,,-1.006,7322.3107,-1688.9203,-12522.4526,-13369.67
10,16,Ne,2.9251,26.0005165,,0.197,,B-,100,B-N,0.13,,,,7341.894,1767.6091,-11226.8344,-18193.541
10,17,Ne,null,27.00756946,,0.0315,,B-,100,B-N,2,,,,12568.7005,5840.3723,-9995.3765,-18082.568
10,18,Ne,2.9642,28.01213077,,0.02,,B-,100,B-N,12,B-2N,3.7,,12288.0534,8746.2106,-9625.5821,-22104.058
10,19,Ne,null,29.019753,,0.015,,B-,100,B-N,28,B-2N,4,,15719.8092,11316.8002,-11354.143,-21750.387
10,20,Ne,null,30.02499224,,0.0073,,B-,100,B-N,13,B-2N,8.9,,14805.4501,12528.808,-13805.8365,-25679.88
10,21,Ne,null,31.03347482,,0.0034,,B-,100,B-2N,,B-3N,,,18935.5625,14635.6061,-15913,-25661.406
10,22,Ne,null,32.03972,,0.0035,,B-,100,B-N,,,,,18359,16682,-17506,
10,23,Ne,null,33.049523,,0.00000018,<,N,,,,,,,22350,19419,,
10,24,Ne,null,34.056728,,0.00000006,>,B-,,B-N,,B-2N,,,21161,20990,,
11,6,Na,null,17.037273,,null,,,,,,,,,,,-9735,18219.128
11,7,Na,null,18.02687939,,2.28E-21,<,P,100,,,,,,,,-9351.3267,19720.375
11,8,Na,null,19.01388026,,1.14E-20,<,P,100,,,,,,-18909.0095,,-6062.2835,11177.33
11,9,Na,2.9718,20.0073543,,0.4479,,EC,100,ECA,20.05,,,0.3694,-10627.2054,-33059.2235,-6249.6092,13892.421
11,10,Na,3.0136,20.99765446,,22.49,,EC+B+,100,,,,,2.3861,-13088.708,-27733.8694,-6561.4745,3546.919
11,11,Na,2.9852,21.99443755,,82104810,,EC+B+,100,,,,,1.746,-4781.4051,-24156.5602,-8479.4198,2843.325
11,12,Na,2.9936,22.98976928,1,stable,,,,,,,,2.2175,-4056.179,-17201.1852,-10467.3243,-4375.809
11,13,Na,2.9735,23.99096301,,53841.6,,B-,100,,,,,1.6903,5515.6774,-11015.5442,-10825.3534,-2466.259
11,14,Na,2.9769,24.98995397,,59.1,,B-,100,,,,,3.683,3834.9684,-3495.5535,-11735.1243,-7322.311
11,15,Na,2.9928,25.99263465,,1.07128,,B-,100,,,,,2.851,9353.7631,-1739.3165,-12079.0722,-7341.894
